County,Year,Kits Distributed
adams,2016,0
adams,2017,0
adams,2018,0
adams,2019,0
allen,2016,676
allen,2017,0
allen,2018,48
allen,2019,6
bartholomew,2016,8
bartholomew,2017,5
bartholomew,2018,0
bartholomew,2019,0
benton,2016,0
benton,2017,0
benton,2018,0
benton,2019,0
blackford,2016,0
blackford,2017,0
blackford,2018,0
blackford,2019,0
boone,2016,0
boone,2017,60
boone,2018,0
boone,2019,0
brown,2016,0
brown,2017,0
brown,2018,0
brown,2019,0
carroll,2016,0
carroll,2017,0
carroll,2018,0
carroll,2019,0
cass,2016,0
cass,2017,118
cass,2018,5
cass,2019,0
clark,2016,189
clark,2017,278
clark,2018,110
clark,2019,0
clay,2016,2
clay,2017,14
clay,2018,24
clay,2019,0
clinton,2016,0
clinton,2017,27
clinton,2018,0
clinton,2019,0
crawford,2016,99
crawford,2017,0
crawford,2018,5
crawford,2019,0
daviess,2016,60
daviess,2017,0
daviess,2018,0
daviess,2019,0
dearborn,2016,0
dearborn,2017,25
dearborn,2018,0
dearborn,2019,0
decatur,2016,0
decatur,2017,0
decatur,2018,26
decatur,2019,0
dekalb,2016,0
dekalb,2017,0
dekalb,2018,20
dekalb,2019,0
delaware,2016,0
delaware,2017,353
delaware,2018,75
delaware,2019,0
dubois,2016,0
dubois,2017,0
dubois,2018,0
dubois,2019,0
elkhart,2016,0
elkhart,2017,0
elkhart,2018,0
elkhart,2019,0
fayette,2016,46
fayette,2017,63
fayette,2018,24
fayette,2019,0
floyd,2016,94
floyd,2017,0
floyd,2018,220
floyd,2019,0
fountain,2016,0
fountain,2017,0
fountain,2018,0
fountain,2019,0
franklin,2016,6
franklin,2017,25
franklin,2018,0
franklin,2019,0
fulton,2016,0
fulton,2017,40
fulton,2018,0
fulton,2019,0
gibson,2016,0
gibson,2017,32
gibson,2018,0
gibson,2019,0
greene,2016,4
greene,2017,0
greene,2018,0
greene,2019,0
hamilton,2016,387
hamilton,2017,90
hamilton,2018,55
hamilton,2019,0
hancock,2016,115
hancock,2017,88
hancock,2018,23
hancock,2019,0
harrison,2016,7
harrison,2017,0
harrison,2018,10
harrison,2019,0
hendricks,2016,89
hendricks,2017,49
hendricks,2018,28
hendricks,2019,0
henry,2016,16
henry,2017,50
henry,2018,0
henry,2019,0
howard,2016,3
howard,2017,50
howard,2018,30
howard,2019,0
huntington,2016,53
huntington,2017,51
huntington,2018,7
huntington,2019,0
jackson,2016,100
jackson,2017,25
jackson,2018,160
jackson,2019,0
jasper,2016,0
jasper,2017,25
jasper,2018,44
jasper,2019,0
jay,2016,0
jay,2017,0
jay,2018,0
jay,2019,0
jefferson,2016,22
jefferson,2017,110
jefferson,2018,0
jefferson,2019,0
jennings,2016,17
johnson,2017,8
johnson,2018,52
johnson,2019,0
knox,2016,40
knox,2017,12
knox,2018,12
knox,2019,0
kosciusko,2016,80
kosciusko,2017,0
kosciusko,2018,12
kosciusko,2019,0
lagrange,2016,14
lagrange,2017,0
lagrange,2018,3
lagrange,2019,0
lake,2016,60
lake,2017,823
lake,2018,298
lake,2019,0
laporte,2016,0
laporte,2017,0
laporte,2018,83
laporte,2019,0
lawrence,2016,43
lawrence,2017,0
lawrence,2018,0
lawrence,2019,66
madison,2016,185
madison,2017,64
madison,2018,114
madison,2019,0
marion,2016,1776
marion,2017,422
marion,2018,852
marion,2019,1
marshall,2016,64
marshall,2017,12
marshall,2018,0
marshall,2019,0
martin,2016,0
martin,2017,0
martin,2018,0
martin,2019,0
miami,2016,70
miami,2017,40
miami,2018,15
miami,2019,50
monroe,2016,147
monroe,2017,250
monroe,2018,45
monroe,2019,0
montgomery,2016,0
montgomery,2017,0
montgomery,2018,0
montgomery,2019,0
morgan,2016,12
morgan,2017,0
morgan,2018,50
morgan,2019,26
newton,2016,0
newton,2017,0
newton,2018,0
newton,2019,0
noble,2016,40
noble,2017,0
noble,2018,59
noble,2019,0
ohio,2016,0
ohio,2017,0
ohio,2018,0
ohio,2019,0
orange,2016,40
orange,2017,0
orange,2018,0
orange,2019,0
owen,2016,37
owen,2017,0
owen,2018,0
owen,2019,0
parke,2016,5
parke,2017,22
parke,2018,0
parke,2019,0
perry,2016,65
perry,2017,0
perry,2018,0
perry,2019,0
pike,2016,0
pike,2017,0
pike,2018,0
pike,2019,0
porter,2016,0
porter,2017,0
porter,2018,0
porter,2019,0
posey,2016,0
posey,2017,16
posey,2018,0
posey,2019,0
pulaski,2016,15
pulaski,2017,18
pulaski,2018,0
pulaski,2019,0
putnam,2016,66
putnam,2017,3
putnam,2018,85
putnam,2019,0
randolph,2016,6
randolph,2017,47
randolph,2018,0
randolph,2019,0
ripley,2016,6
ripley,2017,35
ripley,2018,0
ripley,2019,0
rush,2016,0
rush,2017,0
rush,2018,0
rush,2019,0
st joseph,2016,180
st joseph,2017,124
st joseph,2018,15
st joseph,2019,0
scott,2016,14
scott,2017,225
scott,2018,156
scott,2019,0
shelby,2016,0
shelby,2017,0
shelby,2018,14
shelby,2019,15
spencer,2016,0
spencer,2017,0
spencer,2018,0
spencer,2019,0
starke,2016,0
starke,2017,0
starke,2018,0
starke,2019,0
steuben,2016,0
steuben,2017,0
steuben,2018,0
steuben,2019,0
sullivan,2016,19
sullivan,2017,6
sullivan,2018,120
sullivan,2019,0
switzerland,2016,0
switzerland,2017,8
switzerland,2018,0
switzerland,2019,0
tippecanoe,2016,57
tippecanoe,2017,160
tippecanoe,2018,60
tippecanoe,2019,0
tipton,2016,0
tipton,2017,0
tipton,2018,0
tipton,2019,0
union,2016,0
union,2017,0
union,2018,0
union,2019,0
vanderburgh,2016,408
vanderburgh,2017,123
vanderburgh,2018,275
vanderburgh,2019,0
vermillion,2016,11
vermillion,2017,27
vermillion,2018,28
vermillion,2019,0
vigo,2016,129
vigo,2017,20
vigo,2018,100
vigo,2019,15
wabash,2016,0
wabash,2017,0
wabash,2018,95
wabash,2019,0
warrick,2016,0
warrick,2017,32
warrick,2018,47
warrick,2019,0
washington,2016,60
washington,2017,140
washington,2018,0
washington,2019,0
wayne,2016,0
wayne,2017,0
wayne,2018,0
wayne,2019,0
wells,2016,0
wells,2017,44
wells,2018,0
wells,2019,0
whitley,2016,58
whitley,2017,60
whitley,2018,72
whitley,2019,0
