County,Kits Distributed,Engagement
adams,0,low
allen,1791,high
bartholomew,24,low
benton,0,low
blackford,0,low
boone,60,medium
brown,0,low
carroll,2,low
cass,265,high
clark,597,high
clay,42,medium
clinton,27,medium
crawford,259,high
daviess,137,high
dearborn,25,low
decatur,26,medium
dekalb,29,medium
delaware,464,high
dubois,0,low
elkhart,0,low
fayette,202,high
floyd,409,high
fountain,0,low
franklin,41,medium
fulton,40,medium
gibson,32,medium
grant,0,low
greene,14,low
hamilton,748,high
hancock,226,high
harrison,30,medium
hendricks,227,high
henry,84,medium
howard,90,medium
huntington,167,high
jackson,407,high
jasper,102,high
jay,0,low
jefferson,157,high
jennings,32,medium
johnson,60,medium
knox,69,medium
kosciusko,142,high
lagrange,32,medium
lake,1265,high
laporte,83,medium
lawrence,109,high
madison,600,high
marion,3691,high
marshall,126,high
martin,0,low
miami,245,high
monroe,442,high
montgomery,0,low
morgan,88,medium
newton,0,low
noble,99,medium
ohio,0,low
orange,52,medium
owen,42,medium
parke,27,medium
perry,65,medium
pike,0,low
porter,3,low
posey,16,low
pulaski,53,medium
putnam,236,high
randolph,53,medium
ripley,41,medium
rush,0,low
scott,402,high
shelby,29,medium
spencer,0,low
st. joseph,542,high
starke,0,low
steuben,0,low
sullivan,157,high
switzerland,8,low
tippecanoe,283,high
tipton,0,low
union,0,low
vanderburgh,907,high
vermillion,66,medium
vigo,397,high
wabash,95,medium
warren,0,low
warrick,79,medium
washington,280,high
wayne,0,low
wells,44,medium
white,0,low
whitley,223,high
